FID,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER
0,53,003,960100,1400000US53003960100,53003960100,9601,CT,1340224093,8348390
1,53,005,011100,1400000US53005011100,53005011100,111,CT,5167027,0
2,53,007,960500,1400000US53007960500,53007960500,9605,CT,831152783,1548739
3,53,007,961000,1400000US53007961000,53007961000,9610,CT,3011232,492541
4,53,009,000200,1400000US53009000200,53009000200,2,CT,928793220,32608364
5,53,009,000600,1400000US53009000600,53009000600,6,CT,1066047134,24285102
6,53,009,002100,1400000US53009002100,53009002100,21,CT,3769973,0
7,53,011,040706,1400000US53011040706,53011040706,407.06,CT,1891204,0
8,53,011,040910,1400000US53011040910,53011040910,409.10,CT,6958158,0
9,53,011,041206,1400000US53011041206,53011041206,412.06,CT,3102542,0
10,53,011,041700,1400000US53011041700,53011041700,417,CT,1133324,0
11,53,015,000602,1400000US53015000602,53015000602,6.02,CT,2310984,0
12,53,015,001501,1400000US53015001501,53015001501,15.01,CT,405574003,15685548
13,53,015,001700,1400000US53015001700,53015001700,17,CT,393389771,696726
14,53,017,950200,1400000US53017950200,53017950200,9502,CT,2345325053,4161747
15,53,019,970100,1400000US53019970100,53019970100,9701,CT,2004858965,15919648
16,53,021,020400,1400000US53021020400,53021020400,204,CT,4440350,551810
17,53,027,001000,1400000US53027001000,53027001000,10,CT,6302530,537521
18,53,029,970601,1400000US53029970601,53029970601,9706.01,CT,1627512,0
19,53,033,000200,1400000US53033000200,53033000200,2,CT,3286319,0
20,53,033,002800,1400000US53033002800,53033002800,28,CT,979862,0
21,53,033,003800,1400000US53033003800,53033003800,38,CT,624606,0
22,53,033,004301,1400000US53033004301,53033004301,43.01,CT,979359,0
23,53,033,004900,1400000US53033004900,53033004900,49,CT,1085823,25325
24,53,033,006100,1400000US53033006100,53033006100,61,CT,1191968,695816
25,53,033,007401,1400000US53033007401,53033007401,74.01,CT,259384,0
26,53,033,008900,1400000US53033008900,53033008900,89,CT,1280310,1636171
27,53,033,010402,1400000US53033010402,53033010402,104.02,CT,1798893,0
28,53,033,020100,1400000US53033020100,53033020100,201,CT,1772606,684792
29,53,033,021600,1400000US53033021600,53033021600,216,CT,2855693,143535
30,53,033,022801,1400000US53033022801,53033022801,228.01,CT,4865282,0
31,53,033,025400,1400000US53033025400,53033025400,254,CT,2301456,0
32,53,033,026500,1400000US53033026500,53033026500,265,CT,1993794,1625
33,53,033,027100,1400000US53033027100,53033027100,271,CT,1569800,0
34,53,033,028802,1400000US53033028802,53033028802,288.02,CT,2436529,415839
35,53,033,030006,1400000US53033030006,53033030006,300.06,CT,1990077,163997
36,53,033,030314,1400000US53033030314,53033030314,303.14,CT,2492082,0
37,53,033,030802,1400000US53033030802,53033030802,308.02,CT,1372873,0
38,53,033,032010,1400000US53033032010,53033032010,320.10,CT,4820859,0
39,53,033,032212,1400000US53033032212,53033032212,322.12,CT,3372136,42596
40,53,035,080300,1400000US53035080300,53035080300,803,CT,1665522,210831
41,53,035,081100,1400000US53035081100,53035081100,811,CT,1496008,0
42,53,035,091201,1400000US53035091201,53035091201,912.01,CT,5769755,964321
43,53,035,091600,1400000US53035091600,53035091600,916,CT,5122361,8927
44,53,037,975100,1400000US53037975100,53037975100,9751,CT,1766238027,52868515
45,53,041,971700,1400000US53041971700,53041971700,9717,CT,667670554,28368472
46,53,041,971900,1400000US53041971900,53041971900,9719,CT,539652697,28054084
47,53,045,960200,1400000US53045960200,53045960200,9602,CT,588606954,46941052
48,53,045,960700,1400000US53045960700,53045960700,9607,CT,1936146,0
49,53,047,940200,1400000US53047940200,53047940200,9402,CT,1748055160,40569153
50,53,053,060700,1400000US53053060700,53053060700,607,CT,2105869,0
51,53,053,061500,1400000US53053061500,53053061500,615,CT,1171497,0
52,53,053,063100,1400000US53053063100,53053063100,631,CT,2341221,106487
53,53,053,071208,1400000US53053071208,53053071208,712.08,CT,3685685,4004
54,53,053,071403,1400000US53053071403,53053071403,714.03,CT,5125813,969981
55,53,053,071504,1400000US53053071504,53053071504,715.04,CT,2651531,0
56,53,053,071805,1400000US53053071805,53053071805,718.05,CT,1349188,0
57,53,053,072111,1400000US53053072111,53053072111,721.11,CT,1947576,0
58,53,053,072311,1400000US53053072311,53053072311,723.11,CT,2443700,6948
59,53,053,073116,1400000US53053073116,53053073116,731.16,CT,16086230,51388
60,53,053,073407,1400000US53053073407,53053073407,734.07,CT,2342645,71859
61,53,055,960500,1400000US53055960500,53055960500,9605,CT,124507041,119798638
62,53,057,951100,1400000US53057951100,53057951100,9511,CT,2340551820,26225834
63,53,057,952500,1400000US53057952500,53057952500,9525,CT,1804901,181101
64,53,061,040800,1400000US53061040800,53061040800,408,CT,1439692,1525964
65,53,061,041809,1400000US53061041809,53061041809,418.09,CT,1079258,0
66,53,061,051100,1400000US53061051100,53061051100,511,CT,2057573,0
67,53,061,051602,1400000US53061051602,53061051602,516.02,CT,2051437,0
68,53,061,051916,1400000US53061051916,53061051916,519.16,CT,2788068,0
69,53,061,052605,1400000US53061052605,53061052605,526.05,CT,4726711,196404
70,53,061,052804,1400000US53061052804,53061052804,528.04,CT,6931486,0
71,53,061,053507,1400000US53061053507,53061053507,535.07,CT,4770171,0
72,53,061,053602,1400000US53061053602,53061053602,536.02,CT,533592143,7819282
73,53,063,000400,1400000US53063000400,53063000400,4,CT,1923224,0
74,53,063,003500,1400000US53063003500,53063003500,35,CT,1628093,107706
75,53,063,011000,1400000US53063011000,53063011000,110,CT,1960795,0
76,53,063,012600,1400000US53063012600,53063012600,126,CT,2625437,0
77,53,063,013800,1400000US53063013800,53063013800,138,CT,16949041,0
78,53,065,941000,1400000US53065941000,53065941000,9410,CT,615335694,18695005
79,53,065,951300,1400000US53065951300,53065951300,9513,CT,474879902,9730054
80,53,067,010400,1400000US53067010400,53067010400,104,CT,4094335,143620
81,53,073,010100,1400000US53073010100,53073010100,101,CT,4232548758,109459238
82,53,075,000800,1400000US53075000800,53075000800,8,CT,354820034,8267
83,53,075,001000,1400000US53075001000,53075001000,10,CT,1785799112,36208626
84,53,077,000200,1400000US53077000200,53077000200,2,CT,3561043,0
85,53,077,000500,1400000US53077000500,53077000500,5,CT,2487751,0
86,53,077,002002,1400000US53077002002,53077002002,20.02,CT,9359328,0
87,53,077,940003,1400000US53077940003,53077940003,9400.03,CT,4625388215,3847213
88,53,077,940004,1400000US53077940004,53077940004,9400.04,CT,8368160,0
89,53,031,950601,1400000US53031950601,53031950601,9506.01,CT,10043509,23439590
90,53,031,950702,1400000US53031950702,53031950702,9507.02,CT,3994759478,187398077
91,53,033,000402,1400000US53033000402,53033000402,4.02,CT,1798936,0
92,53,033,002100,1400000US53033002100,53033002100,21,CT,1365465,0
93,53,033,005301,1400000US53033005301,53033005301,53.01,CT,543485,0
94,53,033,006000,1400000US53033006000,53033006000,60,CT,1349234,150279
95,53,033,006700,1400000US53033006700,53033006700,67,CT,1278219,102394
96,53,033,007600,1400000US53033007600,53033007600,76,CT,571879,0
97,53,033,008002,1400000US53033008002,53033008002,80.02,CT,229060,0
98,53,033,008800,1400000US53033008800,53033008800,88,CT,948580,0
99,53,033,009600,1400000US53033009600,53033009600,96,CT,1936669,1354203
100,53,033,010300,1400000US53033010300,53033010300,103,CT,1660256,0
101,53,033,011002,1400000US53033011002,53033011002,110.02,CT,1676109,0
102,53,033,011800,1400000US53033011800,53033011800,118,CT,2301121,2269206
103,53,033,020300,1400000US53033020300,53033020300,203,CT,2557040,45454
104,53,033,020700,1400000US53033020700,53033020700,207,CT,1711192,0
105,53,033,021804,1400000US53033021804,53033021804,218.04,CT,3054687,0
106,53,033,022005,1400000US53033022005,53033022005,220.05,CT,2422668,0
107,53,033,022604,1400000US53033022604,53033022604,226.04,CT,2955134,0
108,53,033,023201,1400000US53033023201,53033023201,232.01,CT,1589792,0
109,53,033,023601,1400000US53033023601,53033023601,236.01,CT,4602336,0
110,53,033,023803,1400000US53033023803,53033023803,238.03,CT,563966,0
111,53,033,024902,1400000US53033024902,53033024902,249.02,CT,2029986,0
112,53,033,027300,1400000US53033027300,53033027300,273,CT,3546826,5405
113,53,033,028100,1400000US53033028100,53033028100,281,CT,1585752,0
114,53,033,028801,1400000US53033028801,53033028801,288.01,CT,5182692,0
115,53,033,029204,1400000US53033029204,53033029204,292.04,CT,4234265,1686
116,53,033,029305,1400000US53033029305,53033029305,293.05,CT,2897235,2246
117,53,033,030005,1400000US53033030005,53033030005,300.05,CT,2179298,0
118,53,033,030201,1400000US53033030201,53033030201,302.01,CT,2807514,64020
119,53,033,030312,1400000US53033030312,53033030312,303.12,CT,1855243,0
120,53,033,030504,1400000US53033030504,53033030504,305.04,CT,1524226,42762
121,53,033,031400,1400000US53033031400,53033031400,314,CT,6376533,1179
122,53,033,031501,1400000US53033031501,53033031501,315.01,CT,161444829,2000421
