"","GEOID","wt","STATEFP10","COUNTYFP10","TRACTCE10","NAME10","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","C000","CNS03","CNS05","CNS06","CNS08","UMWT","UMWTshare"
"1","53033000100",28,53,33,100,1,"Census Tract 1","G5020","S",1910585,1486352,47.7238068,-122.2819279,3301,14,162,88,90,354,0.107240230233263
"2","53033000200",27,53,33,200,2,"Census Tract 2","G5020","S",3286319,0,47.7266401,-122.3099961,4004,14,229,120,97,460,0.114885114885115
"3","53033000300",26,53,33,300,3,"Census Tract 3","G5020","S",1210516,0,47.7305246,-122.3329227,1498,10,111,51,43,215,0.143524699599466
"4","53033000401",25,53,33,401,4.01,"Census Tract 4.01","G5020","S",1281899,81874,47.728871,-122.3509939,3031,16,175,85,103,379,0.125041240514682
"5","53033000402",24,53,33,402,4.02,"Census Tract 4.02","G5020","S",1798936,0,47.7168585,-122.3523664,2391,16,136,88,85,325,0.135926390631535
"6","53033000500",23,53,33,500,5,"Census Tract 5","G5020","S",2882910,932456,47.7224094,-122.3710555,1494,5,75,65,52,197,0.13186077643909
"7","53033000600",22,53,33,600,6,"Census Tract 6","G5020","S",3783740,54223,47.7180013,-122.3322129,3949,15,253,117,139,524,0.132691820714105
"8","53033000700",21,53,33,700,7,"Census Tract 7","G5020","S",1294675,0,47.7156893,-122.3018632,2530,13,132,94,67,306,0.120948616600791
"9","53033000800",20,53,33,800,8,"Census Tract 8","G5020","S",1141587,0,47.7112492,-122.2860821,1362,7,65,39,27,138,0.101321585903084
"10","53033000900",393,53,33,900,9,"Census Tract 9","G5020","S",996458,2531309,47.7063747,-122.2749586,984,6,57,38,30,131,0.133130081300813
"11","53033001000",392,53,33,1000,10,"Census Tract 10","G5020","S",954457,0,47.7064067,-122.2960648,952,5,42,28,19,94,0.0987394957983193
"12","53033001100",391,53,33,1100,11,"Census Tract 11","G5020","S",1060418,0,47.706547,-122.3068073,1372,8,62,48,29,147,0.107142857142857
"13","53033001200",390,53,33,1200,12,"Census Tract 12","G5020","S",1834052,0,47.7071214,-122.3228194,3198,7,147,95,79,328,0.102564102564103
"14","53033001300",389,53,33,1300,13,"Census Tract 13","G5020","S",1183989,0,47.7022812,-122.342179,2720,7,173,94,73,347,0.127573529411765
"15","53033001400",388,53,33,1400,14,"Census Tract 14","G5020","S",2137298,211433,47.7078795,-122.3674088,2733,12,165,101,89,367,0.134284668862056
"16","53033001500",387,53,33,1500,15,"Census Tract 15","G5020","S",1170487,398486,47.6945678,-122.3949423,1334,8,86,61,46,201,0.150674662668666
"17","53033001600",386,53,33,1600,16,"Census Tract 16","G5020","S",2041021,457717,47.7004763,-122.3799018,2159,8,140,68,69,285,0.132005558128763
"18","53033001701",147,53,33,1701,17.01,"Census Tract 17.01","G5020","S",892771,0,47.6963619,-122.3544843,2560,5,163,94,67,329,0.128515625
"19","53033001702",52,53,33,1702,17.02,"Census Tract 17.02","G5020","S",1280222,0,47.6965212,-122.3639488,2542,10,174,106,72,362,0.142407553107789
"20","53033001800",385,53,33,1800,18,"Census Tract 18","G5020","S",942974,0,47.694045,-122.3419779,3033,11,157,104,78,350,0.115397296406198
"21","53033001900",384,53,33,1900,19,"Census Tract 19","G5020","S",1663251,0,47.696535,-122.326216,2355,11,132,59,53,255,0.10828025477707
"22","53033002000",371,53,33,2000,20,"Census Tract 20","G5020","S",1103292,28680,47.695331,-122.3108025,1977,7,114,63,53,237,0.119878603945372
"23","53033002100",370,53,33,2100,21,"Census Tract 21","G5020","S",1365467,0,47.6953673,-122.2980453,1983,3,94,61,50,208,0.104891578416541
"24","53033002200",369,53,33,2200,22,"Census Tract 22","G5020","S",2767963,1488647,47.6922985,-122.2695132,2511,17,123,66,54,260,0.103544404619673
"25","53033002400",368,53,33,2400,24,"Census Tract 24","G5020","S",978103,0,47.6866812,-122.2878258,1591,7,76,44,38,165,0.103708359522313
"26","53033002500",367,53,33,2500,25,"Census Tract 25","G5020","S",984333,0,47.6838969,-122.3022793,1582,11,69,52,39,171,0.108091024020228
"27","53033002600",366,53,33,2600,26,"Census Tract 26","G5020","S",1216657,28175,47.6822031,-122.3113993,2656,21,111,71,65,268,0.100903614457831
"28","53033002700",365,53,33,2700,27,"Census Tract 27","G5020","S",1593775,0,47.6868673,-122.3311252,2961,9,160,108,84,361,0.121918270854441
"29","53033002800",364,53,33,2800,28,"Census Tract 28","G5020","S",983387,0,47.68512,-122.3499256,2714,9,142,90,57,298,0.109801031687546
"30","53033002900",363,53,33,2900,29,"Census Tract 29","G5020","S",986207,0,47.6850872,-122.3606466,2527,21,140,74,60,295,0.116739216462208
