"","GEOID","wt","STATEFP10","COUNTYFP10","TRACTCE10","NAME10","NAMELSAD10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10","C000","CNS03","CNS05","CNS06","CNS08","UMWT","UMWTshare"
"1","53033000100",28,53,33,100,1,"Census Tract 1","G5020","S",1910585,1486352,47.7238068,-122.2819279,1657,0,31,23,64,118,0.0712130356065178
"2","53033000200",27,53,33,200,2,"Census Tract 2","G5020","S",3286319,0,47.7266401,-122.3099961,881,0,49,9,32,90,0.102156640181612
"3","53033000300",26,53,33,300,3,"Census Tract 3","G5020","S",1210516,0,47.7305246,-122.3329227,760,0,1,3,0,4,0.00526315789473684
"4","53033000401",25,53,33,401,4.01,"Census Tract 4.01","G5020","S",1281899,81874,47.728871,-122.3509939,1184,0,0,56,0,56,0.0472972972972973
"5","53033000402",24,53,33,402,4.02,"Census Tract 4.02","G5020","S",1798936,0,47.7168585,-122.3523664,1525,0,48,34,0,82,0.0537704918032787
"6","53033000500",23,53,33,500,5,"Census Tract 5","G5020","S",2882910,932456,47.7224094,-122.3710555,115,0,0,15,0,15,0.130434782608696
"7","53033000600",22,53,33,600,6,"Census Tract 6","G5020","S",3783740,54223,47.7180013,-122.3322129,5424,0,26,29,92,147,0.0271017699115044
"8","53033000700",21,53,33,700,7,"Census Tract 7","G5020","S",1294675,0,47.7156893,-122.3018632,1310,0,11,54,3,68,0.0519083969465649
"9","53033000800",20,53,33,800,8,"Census Tract 8","G5020","S",1141587,0,47.7112492,-122.2860821,78,0,2,6,0,8,0.102564102564103
"10","53033000900",393,53,33,900,9,"Census Tract 9","G5020","S",996458,2531309,47.7063747,-122.2749586,102,0,0,8,0,8,0.0784313725490196
"11","53033001000",392,53,33,1000,10,"Census Tract 10","G5020","S",954457,0,47.7064067,-122.2960648,549,0,3,19,2,24,0.0437158469945355
"12","53033001100",391,53,33,1100,11,"Census Tract 11","G5020","S",1060418,0,47.706547,-122.3068073,307,0,0,27,0,27,0.0879478827361563
"13","53033001200",390,53,33,1200,12,"Census Tract 12","G5020","S",1834052,0,47.7071214,-122.3228194,6385,0,91,30,0,121,0.0189506656225529
"14","53033001300",389,53,33,1300,13,"Census Tract 13","G5020","S",1183989,0,47.7022812,-122.342179,1540,10,100,70,3,183,0.118831168831169
"15","53033001400",388,53,33,1400,14,"Census Tract 14","G5020","S",2137298,211433,47.7078795,-122.3674088,630,0,0,26,0,26,0.0412698412698413
"16","53033001500",387,53,33,1500,15,"Census Tract 15","G5020","S",1170487,398486,47.6945678,-122.3949423,84,0,1,7,0,8,0.0952380952380952
"17","53033001600",386,53,33,1600,16,"Census Tract 16","G5020","S",2041021,457717,47.7004763,-122.3799018,824,0,15,19,20,54,0.0655339805825243
"18","53033001701",147,53,33,1701,17.01,"Census Tract 17.01","G5020","S",892771,0,47.6963619,-122.3544843,1279,0,19,33,0,52,0.0406567630961689
"19","53033001702",52,53,33,1702,17.02,"Census Tract 17.02","G5020","S",1280222,0,47.6965212,-122.3639488,929,0,17,238,7,262,0.282023681377826
"20","53033001800",385,53,33,1800,18,"Census Tract 18","G5020","S",942974,0,47.694045,-122.3419779,375,0,0,20,0,20,0.0533333333333333
"21","53033001900",384,53,33,1900,19,"Census Tract 19","G5020","S",1663251,0,47.696535,-122.326216,3414,0,0,25,90,115,0.033684827182191
"22","53033002000",371,53,33,2000,20,"Census Tract 20","G5020","S",1103292,28680,47.695331,-122.3108025,451,0,6,44,5,55,0.121951219512195
"23","53033002100",370,53,33,2100,21,"Census Tract 21","G5020","S",1365467,0,47.6953673,-122.2980453,598,0,2,21,14,37,0.0618729096989967
"24","53033002200",369,53,33,2200,22,"Census Tract 22","G5020","S",2767963,1488647,47.6922985,-122.2695132,416,6,2,15,0,23,0.0552884615384615
"25","53033002400",368,53,33,2400,24,"Census Tract 24","G5020","S",978103,0,47.6866812,-122.2878258,269,0,0,7,0,7,0.0260223048327138
"26","53033002500",367,53,33,2500,25,"Census Tract 25","G5020","S",984333,0,47.6838969,-122.3022793,522,0,0,26,0,26,0.0498084291187739
